chapter,quote,note
"7 The Importance of Data: “Garbage in, garbage out”","Positive findings are more likely to be published than negative findings, which can skew the results that we see",
"7 The Importance of Data: “Garbage in, garbage out”",Publication bias,
"7 The Importance of Data: “Garbage in, garbage out”","A related source of bias, known as self-selection bias, will arise whenever",
"7 The Importance of Data: “Garbage in, garbage out”",individuals volunteer to be in a treatment group,
"7 The Importance of Data: “Garbage in, garbage out”","As polls with good samples get larger, they get better, since the margin of error shrinks. As polls with bad samples get larger, the pile of garbage just gets bigger and smellier",
"7 The Importance of Data: “Garbage in, garbage out”",Selection bias can be introduced in many other ways,Survey takers are likely different in key characteristics from the population you actually want to study. The US presidential popular vote winner won the most votes *of the relatively few people who voted* because voter turn out is historically very low relative to the population of *eligible* voters.
"7 The Importance of Data: “Garbage in, garbage out”","it introduces the question one should always ask: How have we chosen the sample or samples that we are evaluating? If each member of the relevant population does not have an equal chance of ending up in the sample, we are going to have a problem with whatever results emerge from that sample",
"7 The Importance of Data: “Garbage in, garbage out”",Selection bias,
"7 The Importance of Data: “Garbage in, garbage out”",,"You're not cooking the statistics, you're cooking the data to get the statistical results you want; the methods used to get the stats is generally good and correctly applied
"
"7 The Importance of Data: “Garbage in, garbage out”","equivalent of a Toyota is a cross-sectional data set, which is a collection of data gathered at a single point in time",
"7 The Importance of Data: “Garbage in, garbage out”","Not surprisingly, we can’t always have the Ferrari",
"7 The Importance of Data: “Garbage in, garbage out”",Longitudinal data sets are the research equivalent of a Ferrari,
"7 The Importance of Data: “Garbage in, garbage out”","A longitudinal study collects information on a large group of subjects at many different points in time, such as once every two years",
"7 The Importance of Data: “Garbage in, garbage out”","evidence will prove useful, some will not.",
"7 The Importance of Data: “Garbage in, garbage out”",Some of this,
"7 The Importance of Data: “Garbage in, garbage out”",We sometimes have no specific idea what we will do with the information—but we suspect it will come in handy at some point,
"7 The Importance of Data: “Garbage in, garbage out”","we assume that randomization will evenly divide all relevant characteristics between the two groups—both the characteristics we can observe, like race or income, but also confounding characteristics that we cannot measure or had not considered, such as perseverance or faith.",
"7 The Importance of Data: “Garbage in, garbage out”"," this reason, the “gold standard” of research is randomization, a process by which human subjects (or schools, or hospitals, or whatever we’re studying) are randomly assigned to either the treatment or the control group.",
"7 The Importance of Data: “Garbage in, garbage out”","the goal is to find two groups of subjects who are broadly similar except for the application of whatever “treatment” we care about. In a social science context, the word “treatment” is broad enough to encompass anything from being a sexually frustrated fruit fly to receiving an income tax rebate",
"7 The Importance of Data: “Garbage in, garbage out”",The second thing we often ask of data is that they provide some source of comparison,
"7 The Importance of Data: “Garbage in, garbage out”","a large, biased sample is arguably worse than a small, biased sample because it will give a false sense of confidence regarding the results.",
"7 The Importance of Data: “Garbage in, garbage out”","One crucial caveat is that a bigger sample will not make up for errors in its composition, or “bias",
"7 The Importance of Data: “Garbage in, garbage out”","Many of the most egregious statistical assertions are caused by good statistical methods applied to bad samples, not the opposite",
"7 The Importance of Data: “Garbage in, garbage out”",The key idea is that a properly drawn sample will look like the population from which it is drawn.,
6 Problems with Probability: How overconfident math geeks nearly destroyed the global financial system,"For all the elegance and precision of probability, there is no substitute for thinking about what calculations we are doing and why we are doing them.",
6 Problems with Probability: How overconfident math geeks nearly destroyed the global financial system,"talent-related effort plus an element of luck, good or bad. (Statisticians would call this random error.) In any case, those individuals who perform far above the mean for some stretch are likely to have had luck on their side; those who perform far below the mean are likely to have had bad luck. (In the case of an exam, think about students guessing right or wrong; in the case of a baseball player, think about a hit that can either go foul or land one foot fair for a triple",
6 Problems with Probability: How overconfident math geeks nearly destroyed the global financial system,One way to think about this mean reversion is that performance—both mental and physical—consists of some underlying,
6 Problems with Probability: How overconfident math geeks nearly destroyed the global financial system,Probability tells us that any outlier—an observation that is particularly far from the mean in one direction or the other—is likely to be followed by outcomes that are more consistent with the long-term average.,
6 Problems with Probability: How overconfident math geeks nearly destroyed the global financial system,Because the chances of finding a coincidental one in a million match are relatively high if you run the sample through a database with samples from a million people.,
6 Problems with Probability: How overconfident math geeks nearly destroyed the global financial system,"When we see an anomalous event like that out of context, however, we assume that something besides randomness must be responsible.",
6 Problems with Probability: How overconfident math geeks nearly destroyed the global financial system,"Unlikely things happen. In fact, over a long enough period of time, they are not even that unlikely.",
6 Problems with Probability: How overconfident math geeks nearly destroyed the global financial system,Statistics cannot be any smarter than the people who use them,
5½ The Monty Hall Problem,The more broadly applicable lesson is that your gut instinct on probability can sometimes steer you astray.,
5 Basic Probability: Don’t buy the extended warranty on your $99 printer,"probability is not deterministic. No, you shouldn’t buy a lottery ticket—but you still might win money if you do. And yes, probability can help us catch cheaters and criminals—but when used inappropriately it can also send innocent people to jail","Just because Trump only had a 1/5 (20%) chance of winning in 2016, he was (obviously, at this point) not bound/determined to lose."
5 Basic Probability: Don’t buy the extended warranty on your $99 printer,"There is one crucial distinction here. This formula is applicable only if the events are independent, meaning that the outcome of one has no effect on the outcome of another",
5 Basic Probability: Don’t buy the extended warranty on your $99 printer,Often it is extremely valuable to know the likelihood of multiple events’ happening. What is the probability that the electricity goes out and the generator doesn’t work? The probability of two independent events’ both happening is the product of their respective probabilities,
5 Basic Probability: Don’t buy the extended warranty on your $99 printer,Probability can also sometimes tell us after the fact what likely happened and what likely did not happen,
5 Basic Probability: Don’t buy the extended warranty on your $99 printer,Probabilities do not tell us what will happen for sure; they tell us what is likely to happen and what is less likely to happen,
Appendix to Chapter 4,"The formula for calculating the correlation coefficient requires a little detour with regard to notation. The figure ∑, known as the summation sign, is a handy character in statistics. It represents the summation of the quantity that comes after it. For example, if there is a set of observations x1, x2, x3, and x4, then ∑ (xi) tells us that we should sum the four observations: x1 + x2 + x3 + x4. Thus, ∑ (xi) = x1 + x2 + x3 + x4. Our formula for the mean of a set of i observations could be represented as the following: mean = ∑ (xi)/n.",
4 Correlation: How does Netflix know what movies I like?,"It collapses a complex mess of data measured in different units (like our scatter plots of height and weight) into a single, elegant descriptive statistic.",
4 Correlation: How does Netflix know what movies I like?,A correlation of 0 (or close to it) means that the variables have no meaningful association with one another,
4 Correlation: How does Netflix know what movies I like?,"it is a single number ranging from –1 to 1. A correlation of 1, often described as perfect correlation, means that every change in one variable is associated with an equivalent change in the other variable in the same direction. 

A correlation of –1, or perfect negative correlation, means that every change in one variable is associated with an equivalent change in the other variable in the opposite direction",
4 Correlation: How does Netflix know what movies I like?,the power of correlation as a statistical tool is that we can encapsulate an association between two variables in a single descriptive statistic: the correlation coefficient.,
4 Correlation: How does Netflix know what movies I like?,"A correlation is negative if a positive change in one variable is associated with a negative change in the other,",
4 Correlation: How does Netflix know what movies I like?,Two variables are positively correlated if a change in one is associated with a change in the other in the same direction,
4 Correlation: How does Netflix know what movies I like?,Correlation measures the degree to which two phenomena are related to one another,
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,"In the end, the important question is whether the simplicity and ease of use introduced by collapsing many indicators into a single number outweighs the inherent inaccuracy of the process",
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,A statistical index has all the potential pitfalls of any descriptive statistic—plus the distortions introduced by combining multiple indicators into a single number,
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,Statistics measure the outcomes that matter; incentives give us a reason to improve those outcomes.,"If you can ID an issue with an operation by using statistics, appropriate incentives may help improve those metrics. However, you could just as easily reinforce bad incentives to improve metrics by any means necessary. "
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,"Even if you have a solid indicator of what you are trying to measure and manage, the challenges are not over",
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,There is a common business aphorism: “You can’t manage what you can’t measure.” True. But you had better be darn sure that what you are measuring is really what you are trying to manage.,
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,Any comparison of a quantity changing over time must have a start point and an end point. One can sometimes manipulate those points in ways that affect the message,"By having a short timeline, you can either show a massive change (Regan defense spending) or little change (Republicans discussing climate change). Stretching that timeline out can show a more informative change. You just need to use good judgement about the data."
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,Obviously the flip side is true. A small percentage of an enormous sum can be a big number,
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,"Researchers will sometimes qualify a growth figure by pointing out that it is “from a low base,” meaning that any increase is going to look large by comparison",
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,relative to a very low starting point,
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,"We understand what it means to reduce the amount of arsenic in the drinking water by 22 percent, whereas few of us would know whether reducing arsenic by one microgram (the absolute reduction) would be a significant change or not. Percentages don’t lie—but they can exaggerate. One way to make growth look explosive is to use percentage change to describe some change",
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,"Even comparing apples and apples leaves plenty of room for shenanigans. As discussed in the last chapter, one important role of statistics is to describe changes in quantities over time",
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,"The Median Isn’t the Message,” in which he argued that his scientific knowledge of statistics saved him from the erroneous conclusion that he would necessarily be dead in eight months. The definition of the median tells us that half the patients will live at least eight months—and possibly much, much longer than that. The mortality distribution is “right-skewed,” which is more than a technicality if you happen to have the disease.4","Written by Stephen Jay Gould. The median is useful because it's not affected by outliers, but those outliers - if skewed right (in the positive direction) - could still be instrumental/useful stats to know for decision making"
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,The unit of analysis is the entity being compared or described by the statistics—school performance by one of them and student performance by the other. It’s entirely possible for most of the students to be improving and most of the schools to be getting worse—if the students showing improvement happen to be in very big schools,
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,One way to compete with a firm that can pay workers $2 an hour is to create a manufacturing process so efficient that one worker earning $40 can do twenty times as much,
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,"Even the most precise and accurate descriptive statistics can suffer from a more fundamental problem: a lack of clarity over what exactly we are trying to define, describe, or explain",
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,"If an answer is accurate, then more precision is usually better. But no amount of precision can make up for inaccuracy.",Precision can even give a false sense of certainty
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,Someone with nefarious motives can use perfectly good facts and figures to support entirely disputable or illegitimate conclusions,
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,"And so it is with statistics. Although the field of statistics is rooted in mathematics, and mathematics is exact, the use of statistics to describe complex phenomena is not exact",
3 Deceptive Description: “He’s got a great personality!” and other true but grossly misleading statements,"We don’t doubt that this guy has a great personality; we are wary that a true statement, the great personality, is being used to mask or obscure other information in a way that is seriously misleading",
Appendix to Chapter 2,"Variance is rarely used as a descriptive statistic on its own. Instead, the variance is most useful as a step toward calculating the standard deviation of a distribution",
Appendix to Chapter 2,"Descriptive statistics help to frame the issue. What we do about it, if anything, is an ideological and political question",
2 Descriptive Statistics: Who was the best baseball player of all time?,"Any index is highly sensitive to the descriptive statistics that are cobbled together to build it, and to the weight given to each of those components. As a result, indices range from useful but imperfect tools to complete charades",
2 Descriptive Statistics: Who was the best baseball player of all time?,"Alas, the disadvantage of any index is that it consolidates lots of complex information into a single number. There are countless ways to do that; each has the potential to produce a different outcome",
2 Descriptive Statistics: Who was the best baseball player of all time?,The advantage of any index is that it consolidates lots of complex information into a single number. We can then rank things that otherwise defy simple comparison,
2 Descriptive Statistics: Who was the best baseball player of all time?,"There are two ways to express this tax change, both of which are technically accurate","As absolute change: up to 2 percentage points from 3% to 5%, OR
as relative change from what it was: ((5-3)/3) = 67%"
2 Descriptive Statistics: Who was the best baseball player of all time?,"The best example of this was a recent change in the Illinois personal income tax, which was raised from 3 percent to 5 percent.",
2 Descriptive Statistics: Who was the best baseball player of all time?,Percentage change must not be confused with a change in percentage points,
2 Descriptive Statistics: Who was the best baseball player of all time?,"The point is that a percentage change always gives the value of some figure relative to something else. Therefore, we had better understand what that something else is.",
2 Descriptive Statistics: Who was the best baseball player of all time?,The formula for calculating a percentage difference (or change) is the following: (new figure – original figure)/original figure. The numerator (the part on the top of the fraction) gives us the size of the change in absolute terms; the denominator (the bottom of the fraction) is what puts this change in context by comparing it with our starting point,
2 Descriptive Statistics: Who was the best baseball player of all time?,Percentages are useful—but also potentially confusing or even deceptive,
2 Descriptive Statistics: Who was the best baseball player of all time?,"The easiest way to give meaning to these relative comparisons is by using percentages. It would mean something if I told you that Granola Bar A has 50 percent more sodium than Granola Bar B, or that Uncle Al’s income fell 47 percent last year. Measuring change as a percentage gives us some sense of scale.",
2 Descriptive Statistics: Who was the best baseball player of all time?,"But suppose that I told you that Granola Cereal A contains 31 milligrams more sodium than Granola Cereal B. Unless you know an awful lot about sodium (and the serving sizes for granola cereal), that statement is not going to be particularly informative",
2 Descriptive Statistics: Who was the best baseball player of all time?,Descriptive statistics are often used to compare two figures or quantities. I’m one inch taller than my brother; today’s temperature is nine degrees above the historical average for this date; and so on. Those comparisons make sense because most of us recognize the scale of the units involved,
2 Descriptive Statistics: Who was the best baseball player of all time?,Data that are distributed normally are symmetrical around their mean in a bell shape,
2 Descriptive Statistics: Who was the best baseball player of all time?,the normal distribution,
2 Descriptive Statistics: Who was the best baseball player of all time?,"Once we know the mean and standard deviation for any collection of data, we have some serious intellectual traction","Knowing these stars allows us to compare a single data point against the mean and know if it's large, small, or ""average"""
2 Descriptive Statistics: Who was the best baseball player of all time?,"To illustrate with a simple example, the mean height for American adult men is 5 feet 10 inches. The standard deviation is roughly 3 inches. A high proportion of adult men are between 5 feet 7 inches and 6 feet 1 inch.",
2 Descriptive Statistics: Who was the best baseball player of all time?,"There is natural variation in the HCb2 count, as there is with most biological phenomena (e.g., height). While the mean count for the fake chemical might be 122, plenty of healthy people have counts that are higher or lower. The danger arises only when the HCb2 count gets excessively high or low.",
